Kode Matakuliah,Matakuliah,Dosen,Kelas,SKS,Hari,Ruang,Waktu
22040111D13,PSIKOLOGI BELAJAR,"Prof. Dr. Hj. RIFA HIDAYAH, M.Si, Psikolog",H,2,Selasa,B.113,08.10 - 09.50
22040111D13,PSIKOLOGI BELAJAR,"Prof. Dr. Hj. RIFA HIDAYAH, M.Si, Psikolog",I,2,Rabu,B.212,09.50 - 11.30
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,"Dr. IIN TRI RAHAYU, M.Si.Psi",A,3,Kamis,ARI.Y.101,06.30 - 09.00
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,"Dr. IIN TRI RAHAYU, M.Si.Psi",B,3,Kamis,ARI.Y.101,09.00 - 11.30
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,"Dr. IIN TRI RAHAYU, M.Si.Psi",C,3,Senin,ITC.I.6,06.30 - 09.00
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,"Dr. IIN TRI RAHAYU, M.Si.Psi",D,3,Jumat,ITC.I.6,09.00 - 11.30
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,"FUJI ASTUTIK,M.Psi",E,3,Senin,ARI.Y.101,11.30 - 14.00
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,"FUJI ASTUTIK,M.Psi",F,3,Jumat,ITC.I.2,09.00 - 11.30
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,"RAHMATIKA SARI AMALIA,M.Psi",G,3,Kamis,ARI.Y.102 ,11.30 - 14.00
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,"RAHMATIKA SARI AMALIA,M.Psi",H,3,Jumat,ARI.Y.103,09.00 - 11.30
22040111D17,PSIKODIAGNOSTIK II OBSERVASI,"RAHMATIKA SARI AMALIA,M.Psi",I,3,Kamis,ARI.Y.102 ,09.00 - 11.30
22040111D21,DESAIN PELATIHAN,"ABDUL HAMID CHOLILI,M.Psi",A,2,Senin,B.313,06.30 - 08.10
22040111D21,DESAIN PELATIHAN,"ABDUL HAMID CHOLILI,M.Psi",B,2,Rabu,B.313,06.30 - 08.10
22040111D21,DESAIN PELATIHAN,"ABDUL HAMID CHOLILI,M.Psi",C,2,Rabu,B.313,08.10 - 09.50
22040111D21,DESAIN PELATIHAN,"AGUS IQBAL HAWABI,M.Psi",D,2,Jumat,B.313,09.50 - 11.30
22040111D21,DESAIN PELATIHAN,"AGUS IQBAL HAWABI,M.Psi",E,2,Selasa,B.313,08.10 - 09.50
22040111D21,DESAIN PELATIHAN,"AGUS IQBAL HAWABI,M.Psi",F,2,Jumat,B.313,08.10 - 09.50
22040111D21,DESAIN PELATIHAN,"ABDUL HAMID CHOLILI,M.Psi",G,2,Jumat,B.212,08.10 - 09.50
22040111D21,DESAIN PELATIHAN,"AGUS IQBAL HAWABI,M.Psi",H,2,Selasa,B.313,06.30 - 08.10
22040111D21,DESAIN PELATIHAN,"ABDUL HAMID CHOLILI,M.Psi",I,2,Senin,B.313,08.10 - 09.50
22040111D22,TES INVENTORI,"Dr. ANDIK RONY IRAWAN, M.Si.Psi",A,1,Kamis,Laboratorium Klasikal,06.30 - 07.20
22040111D22,TES INVENTORI,"Dr. ANDIK RONY IRAWAN, M.Si.Psi",B,1,Kamis,Laboratorium Klasikal,07.20 - 08.10
22040111D22,TES INVENTORI,"Dr. ANDIK RONY IRAWAN, M.Si.Psi",C,1,Senin,Laboratorium Klasikal,06.30 - 07.20
22040111D22,TES INVENTORI,"Dr. ANDIK RONY IRAWAN, M.Si.Psi",D,1,Selasa,Laboratorium Klasikal,08.10 - 09.00
22040111D22,TES INVENTORI,"Dr. ANDIK RONY IRAWAN, M.Si.Psi",E,1,Selasa,Laboratorium Klasikal,06.30 - 07.20
22040111D22,TES INVENTORI,"Dr. ANDIK RONY IRAWAN, M.Si.Psi",F,1,Selasa,Laboratorium Klasikal,07.20 - 08.10
22040111D22,TES INVENTORI,"HILDA HALIDA,M.Psi",G,1,Rabu,Laboratorium Klasikal,09.00 - 09.50
22040111D22,TES INVENTORI,"HILDA HALIDA,M.Psi",H,1,Rabu,Laboratorium Klasikal,07.20 - 08.10
22040111D22,TES INVENTORI,"HILDA HALIDA,M.Psi",I,1,Rabu,Laboratorium Klasikal,06.30 - 07.20
22040111D25,PSIKOLOGI ISLAM,"MUHAMMAD ABDUH MUSHTHOFA, M.Psi., Psikolog",A,2,Rabu,B.112,06.30 - 08.10
22040111D25,PSIKOLOGI ISLAM,"AFA FAUZUL ADZIMS.Psi, M.Phil",B,2,Jumat,B.113,08.10 - 09.50
22040111D25,PSIKOLOGI ISLAM,"ABDUL HAMID CHOLILI,M.Psi",C,2,Kamis,B.313,08.10 - 09.50
22040111D25,PSIKOLOGI ISLAM,"MUHAMMAD ABDUH MUSHTHOFA, M.Psi., Psikolog",D,2,Rabu,B.312,08.10 - 09.50
22040111D25,PSIKOLOGI ISLAM,"ALI SYAHIDIN MUBAROK,M.Si",E,2,Rabu,B.212,06.30 - 08.10
22040111D25,PSIKOLOGI ISLAM,"ERMITA ZAKIYAH,M.Th.I",F,2,Rabu,B.213,06.30 - 08.10
22040111D25,PSIKOLOGI ISLAM,"AFA FAUZUL ADZIMS.Psi, M.Phil",G,2,Rabu,B.312,06.30 - 08.10
22040111D25,PSIKOLOGI ISLAM,"AFA FAUZUL ADZIMS.Psi, M.Phil",H,2,Jumat,B.113,06.30 - 08.10
22040111D25,PSIKOLOGI ISLAM,"MUHAMMAD ABDUH MUSHTHOFA, M.Psi., Psikolog",I,2,Senin,B.112,06.30 - 08.10
22040111D27,KODE ETIK PSIKOLOGI,"Dr. RETNO MANGESTUTI, M.Si",A,2,Selasa,B.214,06.30 - 08.10
22040111D27,KODE ETIK PSIKOLOGI,"Dr. RETNO MANGESTUTI, M.Si",B,2,Selasa,B.214,08.10 - 09.50
22040111D27,KODE ETIK PSIKOLOGI,"Dr. RETNO MANGESTUTI, M.Si",C,2,Senin,B.212,11.30 - 13.10
22040111D27,KODE ETIK PSIKOLOGI,"Dr. ENDAH KURNIAWATI PURWANINGTYAS,M.Psi",D,2,Rabu,B.213,09.50 - 11.30
22040111D27,KODE ETIK PSIKOLOGI,"Dr. ENDAH KURNIAWATI PURWANINGTYAS,M.Psi",E,2,Kamis,B.213,06.30 - 08.10
22040111D27,KODE ETIK PSIKOLOGI,"Dr. ENDAH KURNIAWATI PURWANINGTYAS,M.Psi",F,2,Kamis,B.213,08.10 - 09.50
22040111D27,KODE ETIK PSIKOLOGI,"HILDA HALIDA,M.Psi",G,2,Senin,B.312,10.40 - 12.20
22040111D27,KODE ETIK PSIKOLOGI,"HILDA HALIDA,M.Psi",H,2,Senin,B.312,08.10 - 09.50
22040111D27,KODE ETIK PSIKOLOGI,"Dr. ENDAH KURNIAWATI PURWANINGTYAS,M.Psi",I,2,Rabu,B.213,08.10 - 09.50
22040111D28,ANTROPOLOGI,"Drs. H.YAHYA,M.A",A,2,Kamis,RV Psikologi 4,12.20 - 14.00
22040111D28,ANTROPOLOGI,"Drs. H.YAHYA,M.A",B,2,Selasa,RV Psikologi 4,12.20 - 14.00
22040111D28,ANTROPOLOGI,"Drs. H.YAHYA,M.A",C,2,Senin,RV Psikologi 4,12.20 - 14.00
22040111D28,ANTROPOLOGI,"Drs. H.YAHYA,M.A",D,2,Kamis,RV Psikologi 4,09.00 - 10.40
22040111D28,ANTROPOLOGI,"Drs. H.YAHYA,M.A",E,2,Selasa,RV Psikologi 4,09.50 - 11.30
22040111D28,ANTROPOLOGI,"Drs. H.YAHYA,M.A",F,2,Senin,RV Psikologi 4,09.00 - 10.40
22040111D28,ANTROPOLOGI,"APRILIA MEGA ROSDIANA,M.Si",G,2,Rabu,RV Psikologi 5,09.50 - 11.30
22040111D28,ANTROPOLOGI,"TAUFIQURRAHMAN,MA",H,2,Selasa,RV Psikologi 6,10.40 - 12.20
22040111D28,ANTROPOLOGI,"TAUFIQURRAHMAN,MA",I,2,Selasa,RV Psikologi 6,12.20 - 14.00
